Région / Region,Technologie / Technology,Total Volume Auctionned,Total Volume Sold,Weighted Average Price (€ / MWh),My Total Volume,My Weighted Average Price (€ / MWh),Number of winners per couple region/technology
Auvergne-Rhône-Alpes,Eolien onshore,64913,64913,"0,26",-,-,3
Bourgogne-Franche-Comté,Eolien onshore,90205,90205,"0,25",-,-,1
Bretagne,Eolien onshore,119257,119257,"0,25",-,-,1
Centre-Val de Loire,Eolien onshore,126889,126889,"0,25",-,-,2
Grand Est,Eolien onshore,432568,432568,"0,25",-,-,2
Haut-de-France,Eolien onshore,514272,514272,"0,25",-,-,3
Île-de-France,Eolien onshore,8062,8062,"0,25",-,-,1
Normandie,Eolien onshore,103545,103545,"0,25",-,-,2
Nouvelle-Aquitaine,Eolien onshore,104344,104344,"0,25",-,-,3
Occitanie,Eolien onshore,134193,134193,"0,26",-,-,2
Pays de la Loire,Eolien onshore,121006,121006,"0,25",-,-,1
Provence-Alpes-Côte d'Azur,Eolien onshore,3539,3539,"0,25",-,-,2
Auvergne-Rhône-Alpes,Hydraulique,64405,64405,"0,16",-,-,6
Bourgogne-Franche-Comté,Hydraulique,12362,12362,"0,15",-,-,2
Bretagne,Hydraulique,2527,2527,"0,15",-,-,1
Centre-Val de Loire,Hydraulique,2815,2815,"0,15",-,-,1
Grand Est,Hydraulique,16801,16801,"0,17",-,-,3
Haut-de-France,Hydraulique,771,771,"0,15",-,-,1
Île-de-France,Hydraulique,496,496,"0,15",-,-,1
Normandie,Hydraulique,3837,3837,"0,15",-,-,1
Nouvelle-Aquitaine,Hydraulique,49184,49184,"0,16",-,-,7
Occitanie,Hydraulique,96432,96432,"0,16",-,-,6
Pays de la Loire,Hydraulique,1532,1532,"0,15",-,-,1
Provence-Alpes-Côte d'Azur,Hydraulique,19690,19690,"0,18",-,-,4
Auvergne-Rhône-Alpes,Solaire,7734,7734,"0,17",-,-,6
Bourgogne-Franche-Comté,Solaire,3251,3251,"0,16",-,-,2
Bretagne,Solaire,606,606,"0,15",-,-,2
Centre-Val de Loire,Solaire,2135,2135,"0,21",-,-,2
Grand Est,Solaire,4054,4054,"0,25",-,-,3
Haut-de-France,Solaire,419,419,"0,15",-,-,2
Île-de-France,Solaire,137,137,"0,23",-,-,2
Normandie,Solaire,509,509,"0,15",-,-,1
Nouvelle-Aquitaine,Solaire,22908,22908,"0,12",-,-,7
Occitanie,Solaire,15577,15577,"0,12",-,-,4
Pays de la Loire,Solaire,2560,2560,"0,17",-,-,2
Provence-Alpes-Côte d'Azur,Solaire,15254,15254,"0,21",-,-,5
,,,,,,,
Auvergne-Rhône-Alpes,Eolien onshore,77732,77732,"0,19",-,-,5
Bourgogne-Franche-Comté,Eolien onshore,127589,127589,"0,26",-,-,4
Bretagne,Eolien onshore,161519,161519,"0,25",-,-,2
Centre-Val de Loire,Eolien onshore,180498,180498,"0,24",-,-,3
Grand Est,Eolien onshore,646997,646997,"0,2",-,-,8
Haut-de-France,Eolien onshore,784320,784320,"0,17",-,-,9
Île-de-France,Eolien onshore,12402,12402,"0,15",-,-,1
Normandie,Eolien onshore,156103,156103,"0,18",-,-,5
Nouvelle-Aquitaine,Eolien onshore,113261,113261,"0,16",-,-,3
Occitanie,Eolien onshore,146536,146536,"0,24",-,-,6
Pays de la Loire,Eolien onshore,149689,149689,"0,18",-,-,5
Provence-Alpes-Côte d'Azur,Eolien onshore,3901,3901,"0,15",-,-,2
Auvergne-Rhône-Alpes,Hydraulique,74864,74864,"0,18",-,-,6
Bourgogne-Franche-Comté,Hydraulique,18374,18374,"0,16",-,-,3
Bretagne,Hydraulique,2894,2894,"0,15",-,-,2
Centre-Val de Loire,Hydraulique,3183,3183,"0,15",-,-,2
Grand Est,Hydraulique,20175,20175,"0,18",-,-,3
Haut-de-France,Hydraulique,511,511,"0,15",-,-,1
Île-de-France,Hydraulique,185,185,"0,15",-,-,1
Normandie,Hydraulique,3185,3185,"0,15",-,-,2
